Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
,,9.5,82.0,partly cloudy,1010.82,2.0,Winter,,inland,Rainy
39.0,96.0,8.5,71.0,partly cloudy,,,Spring,10.0,inland,Cloudy
30.0,64.0,,16.0,clear,1018.72,5.0,Spring,5.5,mountain,Sunny
38.0,83.0,1.5,82.0,clear,1026.25,7.0,Spring,1.0,coastal,Sunny
27.0,74.0,17.0,66.0,overcast,990.67,1.0,Winter,,mountain,Rainy
32.0,55.0,3.5,,overcast,1010.03,2.0,Summer,5.0,inland,Cloudy
-2.0,97.0,8.0,,overcast,990.87,1.0,Winter,4.0,inland,Snowy
3.0,85.0,6.0,96.0,partly cloudy,,1.0,,3.5,inland,Snowy
3.0,83.0,6.0,66.0,overcast,999.44,0.0,Winter,,mountain,Snowy
28.0,74.0,8.5,107.0,clear,1012.13,8.0,Winter,7.5,coastal,Sunny
35.0,45.0,6.0,86.0,partly cloudy,,2.0,Spring,1.0,mountain,Cloudy
,43.0,2.0,16.0,,,11.0,Autumn,7.5,inland,
12.0,59.0,10.5,25.0,partly cloudy,1016.08,3.0,Autumn,5.5,mountain,Cloudy
-10.0,87.0,15.0,67.0,overcast,986.19,0.0,Winter,1.5,inland,Snowy
24.0,,,8.0,clear,,,,5.5,coastal,Sunny
10.0,50.0,6.5,46.0,partly cloudy,1000.44,,Summer,8.5,mountain,Cloudy
30.0,27.0,7.0,13.0,partly cloudy,,5.0,Spring,7.5,inland,Sunny
,51.0,0.5,27.0,overcast,1009.18,3.0,Autumn,5.5,coastal,Cloudy
43.0,46.0,0.5,15.0,,1025.8,9.0,Spring,,,Sunny
13.0,102.0,12.0,72.0,clear,1012.25,4.0,Summer,8.0,,Sunny
-10.0,67.0,8.5,75.0,,991.53,1.0,Winter,3.0,mountain,Snowy
-7.0,88.0,12.5,98.0,overcast,980.31,1.0,Winter,,inland,Snowy
33.0,36.0,7.5,,clear,1014.29,8.0,Summer,9.5,mountain,Sunny
26.0,73.0,,29.0,overcast,1012.02,1.0,Summer,9.0,inland,Cloudy
38.0,83.0,7.0,101.0,partly cloudy,1017.94,4.0,Spring,8.5,mountain,Cloudy
4.0,79.0,1.0,85.0,partly cloudy,982.53,,,4.5,inland,
,72.0,7.5,62.0,overcast,1010.16,2.0,Summer,,mountain,Rainy
40.0,57.0,4.0,12.0,partly cloudy,1020.73,11.0,Winter,9.5,coastal,Sunny
,61.0,6.5,3.0,partly cloudy,,7.0,,5.5,mountain,Sunny
30.0,70.0,16.0,54.0,,1007.75,0.0,Winter,3.0,mountain,Rainy
28.0,85.0,7.0,97.0,overcast,991.07,1.0,Spring,,coastal,
2.0,61.0,16.5,63.0,overcast,995.74,0.0,Winter,1.0,inland,Snowy
4.0,95.0,2.5,56.0,overcast,984.63,1.0,Winter,4.5,inland,Snowy
15.0,97.0,23.0,91.0,overcast,1009.36,13.0,,2.5,mountain,Rainy
29.0,69.0,3.0,15.0,clear,1012.09,10.0,Winter,,inland,Sunny
35.0,,10.0,,clear,1026.81,5.0,Autumn,7.5,coastal,Sunny
11.0,90.0,25.5,76.0,partly cloudy,,0.0,Winter,1.0,,Rainy
2.0,105.0,19.0,109.0,overcast,991.68,7.0,Winter,3.5,mountain,Snowy
,49.0,1.5,58.0,partly cloudy,1132.2,8.0,Spring,16.5,mountain,Snowy
27.0,64.0,11.5,37.0,partly cloudy,1017.27,3.0,Autumn,8.0,coastal,Cloudy
,37.0,0.5,9.0,partly cloudy,,11.0,Winter,8.5,inland,Sunny
36.0,22.0,1.0,0.0,,1028.63,10.0,Summer,5.5,mountain,Sunny
28.0,,,39.0,partly cloudy,1018.86,3.0,Winter,8.5,mountain,Cloudy
42.0,64.0,2.0,18.0,partly cloudy,1028.55,8.0,Autumn,8.0,mountain,Sunny
21.0,43.0,10.0,11.0,clear,1019.41,11.0,Spring,6.0,mountain,Sunny
22.0,50.0,0.0,18.0,clear,1016.5,5.0,Summer,8.0,coastal,Sunny
